estimator,allocator,pred_vol_mean,real_vol_mean,bias_pct,mae_vol,rmse_vol,qlike,mse_var,corr_pred_real,avg_enb,sample_avg_cond,sample_avg_eff_rank,q,n
rmt_hard,risk_parity,0.005781,0.005573,3.730198,0.002203,0.003638,0.524680,0.000000,0.070766,16.000000,2921.482625,4.469079,0.063492,78
rmt_rie,equal_weight,0.008829,0.008230,7.270524,0.003894,0.006381,0.776786,0.000000,0.113222,12.756594,2921.482625,4.469079,0.063492,78
rmt_rie,hrp,0.004538,0.004883,-7.080605,0.001688,0.003128,0.386407,0.000000,0.128642,8.971859,2921.482625,4.469079,0.063492,78
rmt_rie,inverse_variance,0.005182,0.005414,-4.277056,0.002073,0.003792,0.433806,0.000000,0.102882,14.217968,2921.482625,4.469079,0.063492,78
rmt_rie,max_diversification,0.005184,0.005511,-5.934883,0.001821,0.003239,0.309295,0.000000,0.073732,6.525467,2921.482625,4.469079,0.063492,78
rmt_rie,minimum_variance,0.004612,0.005034,-8.388499,0.001591,0.002871,0.277904,0.000000,-0.007322,5.416796,2921.482625,4.469079,0.063492,78
rmt_rie,risk_parity,0.005453,0.005588,-2.410977,0.002105,0.003613,0.443134,0.000000,0.068410,16.000000,2921.482625,4.469079,0.063492,78
rmt_soft,equal_weight,0.009396,0.008230,14.165678,0.004194,0.006556,0.927160,0.000000,0.112833,12.755020,2921.482625,4.469079,0.063492,78
rmt_soft,hrp,0.004845,0.004905,-1.218263,0.001766,0.003192,0.448936,0.000000,0.114094,9.145191,2921.482625,4.469079,0.063492,78
rmt_soft,inverse_variance,0.005537,0.005444,1.722012,0.002189,0.003880,0.514340,0.000000,0.097369,14.296103,2921.482625,4.469079,0.063492,78
rmt_soft,max_diversification,0.005414,0.005454,-0.733480,0.001870,0.003212,0.354384,0.000000,0.075562,6.128409,2921.482625,4.469079,0.063492,78
rmt_soft,minimum_variance,0.004863,0.005030,-3.303028,0.001621,0.002891,0.310450,0.000000,-0.005770,5.245282,2921.482625,4.469079,0.063492,78
rmt_soft,risk_parity,0.005782,0.005574,3.745226,0.002204,0.003638,0.524775,0.000000,0.070691,16.000000,2921.482625,4.469079,0.063492,78
sample,equal_weight,0.009395,0.008230,14.153603,0.004194,0.006556,0.927036,0.000000,0.112835,12.755547,2921.482625,4.469079,0.063492,78
sample,hrp,0.004846,0.004892,-0.946976,0.001738,0.003077,0.447549,0.000000,0.128516,9.172278,2921.482625,4.469079,0.063492,78
sample,inverse_variance,0.005529,0.005428,1.864886,0.002181,0.003840,0.513784,0.000000,0.100237,14.264592,2921.482625,4.469079,0.063492,78
sample,max_diversification,0.005460,0.005531,-1.279756,0.001900,0.003290,0.354963,0.000000,0.080558,6.116287,2921.482625,4.469079,0.063492,78
sample,minimum_variance,0.004860,0.005029,-3.359341,0.001623,0.002888,0.310414,0.000000,-0.005318,5.255054,2921.482625,4.469079,0.063492,78
sample,risk_parity,0.005783,0.005574,3.736994,0.002204,0.003638,0.524766,0.000000,0.070569,16.000000,2921.482625,4.469079,0.063492,78
